group_name,company,group_type,debute_year,disband_year,current_status,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,foreign_other_singles,others,last_production_year
BADKIZ,us_entertainment,Female,2014,2020,Disband,0,0,4,0,5,22,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2019
Bambino,js_entertainment,Female,2015,2017,Disband,1,0,4,3,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016
Bay.B,can_entertainment,Female,2014,2016,Disband,4,0,3,3,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2015
BBURECTOR,bbu_entertainment,Female,2018,2018,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
BeBe Mignon,happyface_entertainment,Female,2010,2011,Disband,0,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2011
BEBE6,k12_company,Female,2017,2020,Disband,4,0,3,3,5,4,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2019
Bebop,hmi_entertainment,Female,2013,2016,Disband,3,0,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2014
Berry Chu,gyeolhwa_entertainment,Female,2017,0,Active,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
Berry Good,jtg_entertainment,Female,2014,0,Active,6,1,2,0,5,9,1,1,4,0,0,6,0,0,0,0,0,0,0,5,2021
BESTie,ynb_entertainment,Female,2013,2018,Disband,4,0,2,2,4,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2015
Black Bunny,laentertainment,Female,2019,2020,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Black Swan(2016),gm_entertainment,Female,2016,2016,Disband,1,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2016
BLACKPINK,yg_entertainment,Female,2016,0,Active,9,0,4,4,4,0,0,1,2,1,1,3,0,2,1,2,1,0,0,6,2020
BLACKSWAN(2020),dr_music,Female,2020,0,Active,4,0,4,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blady,colabs,Female,2011,2017,Disband,3,0,5,0,5,13,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2015
Blah Blah,fab_entertainment,Female,2017,2019,Disband,4,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
Blastar,vh_entertainment,Female,2020,2020,Disband,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
Bling,ps_creative,Female,2015,2018,Disband,3,0,4,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Bling Bling,major9,Female,2020,0,Active,6,0,6,6,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2021
Bloomy,ds_entertainment,Female,2016,2017,Disband,6,0,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Blue Fox,blue_fox_entertainment,Female,2018,0,Active,3,0,5,1,4,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
BlueMint,starcore,Female,2019,0,Active,1,0,6,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
Bob Girls,chrome_entertainment,Female,2014,2015,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2014
BONUSbaby,maroo_entertainment,Female,2017,2020,Disband,6,0,5,5,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2017
BOTOPASS,colabs,Female,2020,0,Active,6,0,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020
BP POP,bp_story_entertainment,Female,2013,2015,Disband,3,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2013
Brand New Day,wannabe_management,Female,2009,2009,Disband,0,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2009
Brave Girls,brave_entertainment,Female,2011,0,Active,7,0,4,0,4,10,0,0,4,0,1,6,0,0,0,0,0,0,0,1,2020
Brown Eyed Girls,apop_entertainment,Female,2006,0,Active,5,0,4,4,4,0,1,6,3,2,0,8,0,0,0,0,0,0,0,10,2020
BULLDOK,innok_entertainment,Female,2016,2018,Disband,0,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
