group_name,company,group_type,debut_year,disband_year,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,others,last_production_year,total_releases,lifespan
K-Girls,beauty_hankook_corporation,0,2013,2015.0,4,0,5,2,6,7,0,0,1,0,0,2,0,0,0,0,0,0,0,2015,3,3.0
KARA,dsp_media,0,2007,2016.0,1,0,4,2,4,5,0,4,7,0,0,4,0,5,1,0,12,0,4,2015,37,10.0
Kassia,i-star_entertainment,0,2011,2011.0,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,1.0
Kirots,302skool_company,0,2006,2007.0,0,0,9,6,8,5,0,0,0,0,0,7,2,0,0,0,0,0,2,2007,11,2.0
Kiss&Cry,winning_insight_m,0,2014,2014.0,2,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2014,3,1.0
Kitten Girls,stone_entertainment,0,2017,2019.0,3,0,3,2,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2018,2,3.0
La TTE,starcubic_entertainment,0,2012,2012.0,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012,1,1.0
LABELUP,yedam_entertainment,0,2019,2021.0,5,0,5,2,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,3.0
LAY.T,baeksang_entertainment,0,2012,2013.0,2,0,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2012,1,2.0
Leader'S,tgn_entertainment,0,2011,2015.0,1,0,5,5,8,24,3,0,0,0,0,5,0,0,0,0,0,0,0,2015,5,5.0
Limesoda,d-maker_entertainment,0,2017,2020.0,6,0,3,2,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2019,3,4.0
LIPBUBBLE,zenith_media_contents,0,2017,2019.0,5,0,7,4,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,2,3.0
Littles,nega_network,0,2012,2014.0,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,1,3.0
LoveUs,creative_su_entertainment,0,2015,2016.0,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2.0
LPG,aquaargo_entertainment,0,2005,2016.0,0,0,3,0,4,19,0,3,1,1,0,5,0,0,0,0,0,0,0,2015,10,12.0
Luluz,wanna.b,0,2014,2015.0,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2.0
M.I.L.K,bm_entertainment,0,2001,2003.0,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,3.0
MARMELLO,rolling_culture_one,0,2017,2019.0,3,0,5,5,5,0,0,0,1,0,0,2,1,0,0,0,0,0,1,2018,5,3.0
MATILDA,box_media,0,2016,2019.0,5,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2018,5,4.0
Maywish,j9_entertainment,0,2018,2019.0,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2019,2,2.0
Melody Day,cre.ker_entertainment,0,2012,2018.0,4,0,4,4,4,0,0,0,2,0,3,4,3,0,0,0,0,0,15,2018,27,7.0
Melody Pink,colabs,0,2017,2020.0,1,0,3,0,4,15,0,0,0,0,0,6,0,0,0,0,0,0,1,2019,7,4.0
Mercury,gaon_entertainment,0,2016,2017.0,0,0,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016,2,2.0
MIDNIGHT,h&i_entertainment,0,2018,2020.0,2,0,5,2,3,13,0,0,0,0,0,3,0,0,0,0,0,0,0,2019,3,3.0
MINX,happyface_entertainment,0,2014,2016.0,5,0,5,5,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2015,2,3.0
miss A,jyp_entertainment,0,2010,2017.0,5,0,3,3,4,1,0,2,3,0,2,2,0,0,0,0,0,0,1,2015,10,8.0
MIXX,chiko_bros_entertainment,0,2016,2017.0,4,0,5,3,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,2.0
MOA,professional_entertainment,0,2014,2015.0,1,0,5,5,5,6,0,0,0,0,0,2,0,0,0,0,0,0,1,2014,3,2.0
MyB,maroo_entertainment,0,2015,2016.0,4,0,6,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2.0
N*White,j&j_entertainment,0,2013,2016.0,3,0,3,3,4,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2015,3,4.0
Nazca,gaonix_music,0,2001,2004.0,0,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,4.0
NeonPunch,a100_entertainment,0,2017,2020.0,5,0,3,2,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2019,2,4.0
Nep,naeum_entertainment,0,2012,2012.0,0,0,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012,1,1.0
New-A,new_code,0,2016,2017.0,5,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
New.F.O,colabs,0,2011,2012.0,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,2.0
O My Jewel,acoustic_company,0,2017,2018.0,4,0,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,1,2.0
O-24,eunsung_entertainment,0,1998,2002.0,0,0,3,3,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,2,5.0
O21,houxiu_tv,0,2016,2017.0,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
OAHSIS,krazy_entertainment,0,2016,2019.0,4,0,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,4.0
Oh!Bliss,jt_corea_entertainment,0,2016,2017.0,5,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,1,2.0
P.O.P,dwm_entertainment,0,2017,2018.0,4,0,5,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,1,2.0
Pandora,t.s_family_entertainment,0,2012,2013.0,0,0,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,2.0
PAPAYA,colabs,0,2000,2001.0,0,0,3,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,2.0
PEACE,krazy_entertainment,0,2018,2019.0,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2.0
Peach Girl,jm_star_entertainment,0,2013,2014.0,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,1,2.0
Piggy Dolls,winning_insight,0,2011,2013.0,0,0,6,3,3,3,0,1,1,0,0,3,0,0,0,0,0,0,0,2013,5,3.0
PIT A PAT,pit_a_pat_entertainment,0,2017,2017.0,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,1.0
Playback,colabs,0,2015,2018.0,4,0,4,3,4,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2017,4,4.0
PPL,parksal_company,0,2015,2018.0,3,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2017,4,4.0
PRISMA,unionwave_entertainment,0,2020,2021.0,1,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020,1,2.0
PRISTIN,pledis_entertainment,0,2017,2019.0,1,1,11,12,12,0,1,0,2,0,0,2,0,0,0,0,0,0,1,2017,5,3.0
Purfles,crescendo_music,0,2014,2016.0,4,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2015,3,3.0
Purplay,purple_i_ent,0,2013,2014.0,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,1,2.0
Queen B'Z,js_entertainment,0,2012,2017.0,2,0,5,5,5,0,0,0,0,0,0,3,1,0,0,0,0,0,3,2017,7,6.0
Queendom,anj_entertainment,0,2015,2017.0,6,0,3,1,3,7,0,0,0,0,0,5,0,0,0,0,0,0,0,2017,5,3.0
ANJ Entertainment,dsp_media,0,2009,2016.0,5,0,7,7,7,0,2,1,4,0,0,2,0,1,0,0,3,0,5,2016,16,8.0
