Group Name,Company,Group Type,Debute Year,Disband Year,Current Status,Social Accounts,Inactive Members,Current Members,Original Members Remainding,Initial Members,Member Changes,SubUnits,Albums,Mini Albums, Other Albums,Singles,Digital Singles,Other Singles,Foreign Albums, Foreign Mini Albums,Foreign Other Album,Foreign Singles,Foreign Digital Singles,Foreign Other Singles,Others,Last Production Year
A.H.H.A,YellOCean,Female,2015,2016,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
A.I.N,Starcommerce Entertainment,Female,2014,2014,Disband,0,0,7,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
A.KOR,Doo Republic,Female,2014,2017,Disband,3,0,5,3,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2015
A.sia,Starmade Entertainment,Female,2006,2007,Disband,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
A.SOME,The Solution,Female,2016,2017,Disband,1,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016
ABRY,withHC,Female,2017,,Active,7,0,2,2,4,2,0,0,1,0,0,4,1,0,0,0,0,0,0,4,2019
ACE,Worthy Entertainment,Female,2015,2016,Disband,2,0,4,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
aespa,SM Entertainment,Female,2020,,Active,7,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021
After School,Pledis Entertainment,Female,2009,2020,Disband,5,0,1,1,5,10,3,1,0,0,6,2,3,2,0,1,6,0,0,5,2015
Aila,Plane Entertainment,Female,2014,2014,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
AiRiSU,Gaon Entertainment,Female,2018,2019,Disband,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
AL,Mascom Company,Female,2001,2002,Disband,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2001
Alice White,SMAF Entertainment,Female,2014,2015,Disband,3,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
ALiKE,87sound,Female,2018,2019,Disband,5,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
AMOR,Juny Network Entertainment,Female,2017,2018,Disband,2,0,5,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
